time,device,hr_bpm,hr_conf,spo2_pct,spo2_valid,skin_contact
00:01:57.447,PATCH,68,75,0,0,0
00:01:57.447,PATCH,68,75,0,0,0
00:01:57.447,PATCH,68,75,0,0,0
00:01:57.447,PATCH,68,75,0,0,0
00:01:57.498,PATCH,68,75,0,0,0
00:01:57.498,PATCH,68,75,0,0,0
00:01:57.498,PATCH,68,75,0,0,0
00:01:57.498,PATCH,68,75,0,0,0
00:01:57.594,PATCH,68,75,0,0,0
00:01:57.594,PATCH,68,75,0,0,0
00:01:57.594,PATCH,68,75,0,0,0
00:01:57.594,PATCH,68,75,0,0,0
00:01:57.691,PATCH,68,75,0,0,0
00:01:57.691,PATCH,68,75,0,0,0
00:01:57.691,PATCH,68,75,0,0,0
00:01:57.691,PATCH,68,75,0,0,0
00:01:57.788,PATCH,68,75,0,0,0
00:01:57.788,PATCH,68,75,0,0,0
00:01:57.788,PATCH,68,75,0,0,0
00:01:57.788,PATCH,68,75,0,0,0
00:01:57.788,PATCH,68,75,0,0,0
00:01:57.839,PATCH,68,75,0,0,0
00:01:57.839,PATCH,68,75,0,0,0
00:01:57.839,PATCH,68,75,0,0,0
00:01:57.839,PATCH,68,75,0,0,0
00:01:57.935,PATCH,68,75,0,0,0
00:01:57.935,PATCH,68,75,0,0,0
00:01:57.935,PATCH,68,75,0,0,0
00:01:57.935,PATCH,68,75,0,0,0
00:01:58.032,PATCH,68,75,0,0,0
00:01:58.032,PATCH,68,75,0,0,0
00:01:58.032,PATCH,68,75,0,0,0
00:01:58.032,PATCH,68,75,0,0,0
00:01:58.130,PATCH,68,75,0,0,0
00:01:58.130,PATCH,68,75,0,0,0
00:01:58.130,PATCH,60,0,0,0,0
00:01:58.130,PATCH,60,0,0,0,0
00:01:58.180,PATCH,60,0,0,0,0
00:01:58.180,PATCH,60,0,0,0,0
00:01:58.180,PATCH,60,0,0,0,0
00:01:58.180,PATCH,60,0,0,0,0
00:01:58.180,PATCH,60,0,0,0,0
00:01:58.276,PATCH,60,0,0,0,0
00:01:58.276,PATCH,60,0,0,0,0
00:01:58.276,PATCH,60,0,0,0,0
00:01:58.276,PATCH,60,0,0,0,0
00:01:58.326,PATCH,60,0,0,0,0
00:01:58.326,PATCH,60,0,0,0,0
00:01:58.326,PATCH,60,0,0,0,0
00:01:58.326,PATCH,60,0,0,0,0
00:01:58.423,PATCH,60,0,0,0,0
00:01:58.423,PATCH,60,0,0,0,0
00:01:58.423,PATCH,60,0,0,0,0
00:01:58.423,PATCH,60,0,0,0,0
00:01:58.467,WATCH,60,0,0,0,1
00:01:58.467,WATCH,60,0,0,0,1
00:01:58.467,WATCH,60,0,0,0,1
