time,device,hr_bpm,hr_conf,spo2_pct,spo2_valid,skin_contact
22:53:43.576,PATCH,63,100,96,1,0
22:53:43.576,PATCH,63,100,96,1,0
22:53:43.576,PATCH,63,100,96,1,0
22:53:43.576,PATCH,63,100,96,1,0
22:53:43.627,PATCH,63,100,96,1,0
22:53:43.627,PATCH,63,100,96,1,0
22:53:43.627,PATCH,63,100,96,1,0
22:53:43.627,PATCH,63,100,96,1,0
22:53:43.821,PATCH,63,100,96,1,0
22:53:43.821,PATCH,63,100,96,1,0
22:53:43.821,PATCH,63,100,96,1,0
22:53:43.821,PATCH,63,100,96,1,0
22:53:43.918,PATCH,63,100,96,1,0
22:53:43.918,PATCH,63,100,96,1,0
22:53:43.918,PATCH,60,0,0,0,0
22:53:43.918,PATCH,60,0,0,0,0
22:53:44.017,PATCH,60,0,0,0,0
22:53:44.017,PATCH,60,0,0,0,0
22:53:44.017,PATCH,60,0,0,0,0
22:53:44.017,PATCH,60,0,0,0,0
22:53:44.113,PATCH,60,0,0,0,0
22:53:44.113,PATCH,60,0,0,0,0
22:53:44.113,PATCH,60,0,0,0,0
22:53:44.113,PATCH,60,0,0,0,0
22:53:44.164,PATCH,60,0,0,0,0
22:53:44.164,PATCH,60,0,0,0,0
22:53:44.164,PATCH,60,0,0,0,0
22:53:44.164,PATCH,60,0,0,0,0
22:53:44.261,PATCH,60,0,0,0,0
22:53:44.261,PATCH,60,0,0,0,0
22:53:44.261,PATCH,60,0,0,0,0
22:53:44.261,PATCH,60,0,0,0,0
22:53:44.406,PATCH,60,0,0,0,0
22:53:44.406,PATCH,60,0,0,0,0
22:53:44.406,PATCH,60,0,0,0,0
22:53:44.406,PATCH,60,0,0,0,0
22:53:44.505,PATCH,60,0,0,0,0
22:53:44.505,PATCH,60,0,0,0,0
22:53:44.505,PATCH,60,0,0,0,0
22:53:44.505,PATCH,60,0,0,0,0
22:53:44.549,WATCH,60,0,0,0,1
22:53:44.549,WATCH,60,0,0,0,1
22:53:44.549,WATCH,60,0,0,0,1
22:53:44.646,WATCH,60,0,0,0,1
22:53:44.646,WATCH,60,0,0,0,1
22:53:44.646,WATCH,60,0,0,0,1
22:53:44.652,PATCH,60,0,0,0,0
22:53:44.652,PATCH,60,0,0,0,0
22:53:44.652,PATCH,60,0,0,0,0
22:53:44.652,PATCH,60,0,0,0,0
22:53:44.696,WATCH,60,0,0,0,2
22:53:44.696,WATCH,60,0,0,0,2
22:53:44.696,WATCH,60,0,0,0,2
22:53:44.792,WATCH,60,0,0,0,2
22:53:44.792,WATCH,60,0,0,0,2
22:53:44.792,WATCH,60,0,0,0,2
22:53:44.792,WATCH,60,0,0,0,2
22:53:44.798,PATCH,60,0,0,0,0
22:53:44.798,PATCH,60,0,0,0,0
22:53:44.798,PATCH,60,0,0,0,0
22:53:44.798,PATCH,60,0,0,0,0
22:53:44.842,WATCH,60,0,0,0,2
22:53:44.842,WATCH,60,0,0,0,2
22:53:44.842,WATCH,60,0,0,0,2
22:53:44.893,PATCH,60,0,0,0,0
22:53:44.893,PATCH,60,0,0,0,0
22:53:44.893,PATCH,60,0,0,0,0
22:53:44.893,PATCH,60,0,0,0,0
22:53:44.938,WATCH,60,0,0,0,2
22:53:44.938,WATCH,60,0,0,0,2
22:53:44.938,WATCH,60,0,0,0,2
22:53:44.945,PATCH,60,0,0,0,0
22:53:44.945,PATCH,60,0,0,0,0
22:53:44.945,PATCH,60,0,0,0,0
22:53:44.945,PATCH,60,0,0,0,0
22:53:44.989,WATCH,60,0,0,0,2
22:53:44.989,WATCH,60,0,0,0,2
22:53:44.989,WATCH,60,0,0,0,2
22:53:45.040,PATCH,60,0,0,0,0
22:53:45.040,PATCH,60,0,0,0,0
22:53:45.040,PATCH,60,0,0,0,0
22:53:45.040,PATCH,60,0,0,0,0
22:53:45.040,PATCH,60,0,0,0,0
22:53:45.084,WATCH,60,0,0,0,2
22:53:45.084,WATCH,60,0,0,0,2
22:53:45.084,WATCH,60,0,0,0,2
22:53:45.135,WATCH,60,0,0,0,2
22:53:45.135,WATCH,60,0,0,0,2
22:53:45.135,WATCH,60,0,0,0,2
22:53:45.137,PATCH,60,0,0,0,0
22:53:45.137,PATCH,60,0,0,0,0
22:53:45.137,PATCH,60,0,0,0,0
22:53:45.137,PATCH,60,0,0,0,0
22:53:45.188,PATCH,60,0,0,0,0
22:53:45.188,PATCH,60,0,0,0,0
22:53:45.188,PATCH,60,0,0,0,0
22:53:45.188,PATCH,60,0,0,0,0
22:53:45.231,WATCH,60,0,0,0,2
22:53:45.231,WATCH,60,0,0,0,2
22:53:45.231,WATCH,60,0,0,0,2
22:53:45.331,PATCH,60,0,0,0,0
22:53:45.331,PATCH,60,0,0,0,0
22:53:45.331,PATCH,60,0,0,0,0
22:53:45.331,PATCH,60,0,0,0,0
22:53:45.377,WATCH,60,0,0,0,2
22:53:45.377,WATCH,60,0,0,0,2
22:53:45.377,WATCH,60,0,0,0,2
22:53:45.430,PATCH,60,0,0,0,0
22:53:45.430,PATCH,60,0,0,0,0
22:53:45.430,PATCH,60,0,0,0,0
22:53:45.430,PATCH,60,0,0,0,0
22:53:45.475,WATCH,60,0,0,0,2
22:53:45.475,WATCH,60,0,0,0,2
22:53:45.475,WATCH,60,0,0,0,2
22:53:45.529,PATCH,60,0,0,0,0
22:53:45.529,PATCH,60,0,0,0,0
22:53:45.529,PATCH,60,0,0,0,0
22:53:45.529,PATCH,60,0,0,0,0
22:53:45.529,PATCH,60,0,0,0,0
22:53:45.621,WATCH,60,0,0,0,2
22:53:45.621,WATCH,60,0,0,0,2
22:53:45.621,WATCH,60,0,0,0,2
22:53:45.625,PATCH,60,0,0,0,0
22:53:45.625,PATCH,60,0,0,0,0
22:53:45.625,PATCH,60,0,0,0,0
22:53:45.625,PATCH,60,0,0,0,0
22:53:45.718,WATCH,60,0,0,0,2
22:53:45.718,WATCH,60,0,0,0,2
22:53:45.718,WATCH,60,0,0,0,2
22:53:45.819,PATCH,60,0,0,0,0
22:53:45.819,PATCH,60,0,0,0,0
22:53:45.819,PATCH,60,0,0,0,0
22:53:45.819,PATCH,60,0,0,0,0
22:53:45.864,WATCH,60,0,0,0,2
22:53:45.864,WATCH,60,0,0,0,2
22:53:45.864,WATCH,60,0,0,0,2
22:53:45.869,PATCH,60,0,0,0,0
22:53:45.869,PATCH,60,0,0,0,0
22:53:45.869,PATCH,60,0,0,0,0
22:53:45.869,PATCH,60,0,0,0,0
22:53:45.963,WATCH,60,0,0,0,2
22:53:45.963,WATCH,60,0,0,0,2
22:53:45.963,WATCH,60,0,0,0,2
22:53:45.967,PATCH,60,0,0,0,0
22:53:45.967,PATCH,60,0,0,0,0
22:53:45.967,PATCH,60,0,0,0,0
22:53:45.967,PATCH,60,0,0,0,0
22:53:46.108,WATCH,60,0,0,0,2
22:53:46.108,WATCH,60,0,0,0,2
22:53:46.108,WATCH,60,0,0,0,2
22:53:46.159,WATCH,60,0,0,0,2
22:53:46.159,WATCH,60,0,0,0,2
22:53:46.210,PATCH,60,0,0,0,0
22:53:46.210,PATCH,60,0,0,0,0
22:53:46.210,PATCH,60,0,0,0,0
22:53:46.210,PATCH,60,0,0,0,0
22:53:46.210,PATCH,60,0,0,0,0
22:53:46.304,WATCH,60,0,0,0,2
22:53:46.304,WATCH,60,0,0,0,2
22:53:46.304,WATCH,60,0,0,0,2
22:53:46.309,PATCH,60,0,0,0,0
22:53:46.309,PATCH,60,0,0,0,0
22:53:46.309,PATCH,60,0,0,0,0
22:53:46.309,PATCH,60,0,0,0,0
22:53:46.401,WATCH,60,0,0,0,2
22:53:46.401,WATCH,60,0,0,0,2
22:53:46.401,WATCH,60,0,0,0,2
22:53:46.407,PATCH,60,0,0,0,0
